Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
-------------------------  ----------  ------  --------  --------  ------  -------  ------  ------  --------  ------  -------  --------  -------  -------  -------  -------  ---------  --------  -------  -------  --------
4D                             12.50%   0.00%     0.00%     0.00%  12.50%    0.00%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%   12.50%   12.50%    0.00%   25.00%      0.00%     0.00%    0.00%   25.00%     0.00%
abearrawr                       7.14%   1.43%     7.14%     0.00%   4.29%    2.86%   1.43%   5.71%     0.00%   8.57%   10.00%     7.14%    4.29%   11.43%    4.29%    0.00%      8.57%     5.71%    1.43%    5.71%     2.86%
Alexare                         3.09%   4.12%     6.19%     5.15%   5.15%    7.22%   3.09%   8.25%     6.19%   1.03%    4.12%     7.22%    6.19%    3.09%    5.15%    5.15%      5.15%     6.19%    3.09%    2.06%     3.09%
alibi                           5.66%   1.89%     0.00%     1.89%  49.06%    5.66%  11.32%   3.77%     0.00%  11.32%    0.00%     0.00%    0.00%    3.77%    0.00%    0.00%      3.77%     0.00%    1.89%    0.00%     0.00%
alteffor                        0.00%   3.03%     6.06%     0.00%   9.09%    6.06%   6.06%   6.06%     9.09%   0.00%   12.12%     3.03%    3.03%    3.03%    3.03%    3.03%     12.12%     6.06%    0.00%    6.06%     3.03%
amlabella                       3.77%   3.77%     5.66%     2.83%   8.49%    4.72%   4.72%   5.66%     2.83%   4.72%    2.83%     5.66%    7.55%    5.66%    6.60%    4.72%      3.77%     1.89%    3.77%    4.72%     5.66%
and                            20.00%  20.00%     0.00%     0.00%   0.00%    0.00%   0.00%  20.00%     0.00%   0.00%    0.00%     0.00%    0.00%    0.00%    0.00%    0.00%      0.00%    40.00%    0.00%    0.00%     0.00%
AndiVx                          6.12%   0.00%     4.08%     6.12%   0.00%    2.04%   2.04%   0.00%     6.12%   4.08%    8.16%     8.16%    8.16%    0.00%    4.08%    2.04%     10.20%     6.12%    8.16%    6.12%     8.16%
arturiax                        6.14%   7.02%     3.51%     2.63%   0.88%    7.02%   3.51%   1.75%     0.00%   5.26%    6.14%     4.39%    6.14%    6.14%    3.51%    7.02%     13.16%     2.63%    4.39%    4.39%     4.39%
ascendbeyond                    0.00%   0.00%     0.00%    12.12%   0.00%   15.15%  18.18%   0.00%     0.00%   6.06%    3.03%     3.03%    0.00%    0.00%    0.00%    0.00%      0.00%     0.00%    0.00%   24.24%    18.18%
Augleb240                       0.00%  12.50%     0.00%    12.50%  37.50%    0.00%   0.00%   0.00%     0.00%   0.00%   12.50%     0.00%   12.50%    0.00%    0.00%    0.00%      0.00%     0.00%    0.00%   12.50%     0.00%
badplayer                       4.00%   0.00%     6.00%     8.00%   4.00%    8.00%   4.00%   0.00%     2.00%   0.00%    6.00%     4.00%   10.00%    6.00%    0.00%    6.00%     16.00%     0.00%    6.00%    4.00%     6.00%
baldrick                       16.13%   0.00%     0.00%     0.00%   9.68%    9.68%   3.23%   0.00%     6.45%   0.00%    9.68%     0.00%    3.23%    3.23%    9.68%    3.23%      0.00%     0.00%    9.68%    9.68%     6.45%
bananaconda                    12.73%   1.82%     3.64%     1.82%  10.91%    0.00%   3.64%   7.27%     1.82%   0.00%    9.09%     1.82%    3.64%   12.73%    5.45%    0.00%     10.91%     0.00%    3.64%    7.27%     1.82%
basiQ                          16.67%   0.00%     0.00%     0.00%   0.00%    0.00%  16.67%   0.00%    25.00%   8.33%    0.00%     0.00%    0.00%    0.00%   16.67%    0.00%      8.33%     0.00%    8.33%    0.00%     0.00%
basshead                        3.39%   0.00%     0.00%     1.69%  11.86%    1.69%   1.69%   5.08%     1.69%   0.00%   18.64%    13.56%   20.34%    0.00%    5.08%    0.00%      0.00%    11.86%    1.69%    0.00%     1.69%
bayushi                         2.78%   5.56%     2.78%     5.56%   0.00%    5.56%   8.33%   5.56%     2.78%   5.56%    2.78%     5.56%    8.33%    5.56%    2.78%    2.78%      2.78%     8.33%    5.56%    2.78%     8.33%
belial                          7.59%   1.27%     1.27%     1.27%  16.46%    7.59%   0.00%   2.53%     1.27%   0.00%   10.13%    11.39%    2.53%    6.33%    0.00%    2.53%     16.46%     3.80%    1.27%    6.33%     0.00%
bitbandingpig                  14.71%   1.47%     0.00%     8.82%   1.47%   10.29%   8.82%   1.47%     0.00%   4.41%    4.41%     1.47%    1.47%    2.94%    8.82%    1.47%      0.00%     1.47%    7.35%   10.29%     8.82%
blackjack66                     0.00%   0.00%     0.00%     0.00%   0.00%    0.00%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%    0.00%    0.00%    0.00%    0.00%      0.00%     0.00%    0.00%  100.00%     0.00%
bloom                           5.66%   7.55%     7.55%     5.66%   0.00%    9.43%   5.66%   7.55%     7.55%   3.77%    5.66%     1.89%   13.21%    3.77%    3.77%    3.77%      0.00%     1.89%    1.89%    1.89%     1.89%
bluspacecrab                    0.00%   0.00%     5.56%     5.56%   0.00%    0.00%   5.56%   0.00%    16.67%   5.56%    0.00%    11.11%    5.56%    5.56%    0.00%    0.00%      5.56%    11.11%    0.00%   11.11%    11.11%
