Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
-------------------------  ----------  ------  --------  --------  ------  -------  ------  ------  --------  ------  -------  --------  -------  -------  -------  -------  ---------  --------  -------  -------  --------
Alexare                         3.85%   0.00%     5.77%     5.77%   1.92%    5.77%   3.85%  11.54%     7.69%   0.00%    7.69%     9.62%    5.77%    3.85%    5.77%    5.77%      1.92%     3.85%    5.77%    1.92%     1.92%
alibi                           5.66%   1.89%     0.00%     1.89%  49.06%    5.66%  11.32%   3.77%     0.00%  11.32%    0.00%     0.00%    0.00%    3.77%    0.00%    0.00%      3.77%     0.00%    1.89%    0.00%     0.00%
alteffor                        0.00%   3.03%     6.06%     0.00%   9.09%    6.06%   6.06%   6.06%     9.09%   0.00%   12.12%     3.03%    3.03%    3.03%    3.03%    3.03%     12.12%     6.06%    0.00%    6.06%     3.03%
amlabella                       4.17%   4.17%     6.25%     6.25%  10.42%    2.08%   2.08%   6.25%     2.08%   6.25%    4.17%     6.25%    6.25%    6.25%    6.25%    2.08%      2.08%     0.00%    6.25%    2.08%     8.33%
AndiVx                          8.11%   0.00%     2.70%     5.41%   0.00%    0.00%   2.70%   0.00%     5.41%   5.41%   10.81%     8.11%    8.11%    0.00%    2.70%    2.70%      8.11%     5.41%    8.11%    5.41%    10.81%
arturiax                        7.84%   7.84%     3.92%     3.92%   1.96%    9.80%   3.92%   1.96%     0.00%   3.92%    3.92%     1.96%    5.88%    5.88%    3.92%    5.88%     11.76%     1.96%    5.88%    3.92%     3.92%
ascendbeyond                    0.00%   0.00%     0.00%    12.12%   0.00%   15.15%  18.18%   0.00%     0.00%   6.06%    3.03%     3.03%    0.00%    0.00%    0.00%    0.00%      0.00%     0.00%    0.00%   24.24%    18.18%
bananaconda                    12.73%   1.82%     3.64%     1.82%  10.91%    0.00%   3.64%   7.27%     1.82%   0.00%    9.09%     1.82%    3.64%   12.73%    5.45%    0.00%     10.91%     0.00%    3.64%    7.27%     1.82%
belial                          4.76%   4.76%     0.00%     0.00%   9.52%   19.05%   0.00%   0.00%     0.00%   0.00%    4.76%     4.76%    4.76%    4.76%    0.00%    4.76%     14.29%     4.76%    4.76%   14.29%     0.00%
brskaylor                       0.00%   0.00%     7.69%    15.38%   0.00%    7.69%   0.00%   0.00%     7.69%   7.69%    7.69%     0.00%    0.00%   15.38%    0.00%    7.69%      0.00%     7.69%    0.00%    7.69%     7.69%
Calvin Schoolidge               1.96%   3.92%     1.96%     1.96%   0.00%    7.84%   3.92%   5.88%     0.00%  15.69%    9.80%     7.84%    7.84%    5.88%    5.88%    1.96%      7.84%     3.92%    0.00%    1.96%     3.92%
canadianbacon                   3.92%   3.92%     1.96%     0.00%   0.00%    5.88%   7.84%   3.92%     3.92%   5.88%   11.76%     0.00%    3.92%    3.92%    3.92%   11.76%      3.92%     7.84%    0.00%    7.84%     7.84%
Cartwright                      1.89%   7.55%     0.00%     1.89%   0.00%    9.43%   3.77%   3.77%     1.89%   7.55%    3.77%     9.43%    9.43%    7.55%    1.89%    3.77%      7.55%     5.66%    1.89%   11.32%     0.00%
checker                         2.22%   6.67%     4.44%     8.89%  11.11%    2.22%   2.22%   6.67%     2.22%   6.67%    2.22%     2.22%    2.22%    4.44%    8.89%    6.67%      0.00%     2.22%    8.89%    8.89%     0.00%
cleetose                       13.33%   2.22%     2.22%     2.22%  11.11%    4.44%   2.22%   4.44%     2.22%   2.22%    2.22%    13.33%    2.22%    6.67%    6.67%    4.44%      4.44%     2.22%    2.22%    4.44%     4.44%
daheadhunter                    5.26%   2.63%     0.00%     0.00%   2.63%    7.89%   2.63%   2.63%     5.26%   5.26%   15.79%    13.16%    0.00%    5.26%    5.26%    2.63%     10.53%     5.26%    0.00%    5.26%     2.63%
davidw                          3.64%   0.00%     3.64%     1.82%   0.00%   14.55%  10.91%   9.09%     0.00%   3.64%    5.45%     9.09%    7.27%    7.27%    3.64%    1.82%     10.91%     1.82%    0.00%    5.45%     0.00%
dbdkmezz                        4.08%   4.08%     6.12%     4.08%   0.00%    2.04%   4.08%   4.08%     0.00%   8.16%    4.08%     0.00%    6.12%   12.24%   16.33%    4.08%      6.12%     4.08%    2.04%    8.16%     0.00%
degran                          0.00%   8.70%     6.52%     4.35%   4.35%    4.35%   8.70%   0.00%     4.35%   4.35%    2.17%     6.52%    4.35%    6.52%    8.70%    8.70%      6.52%     0.00%    0.00%    2.17%     8.70%
dels                            9.30%   4.65%     4.65%     2.33%   4.65%    2.33%   6.98%   9.30%     0.00%   4.65%    2.33%    13.95%    4.65%    2.33%    2.33%    4.65%      2.33%     2.33%    2.33%    9.30%     4.65%
dowsey                          0.00%   0.00%     0.00%     0.00%   3.92%   17.65%   0.00%   3.92%     0.00%   0.00%    9.80%     9.80%   21.57%    1.96%    1.96%    1.96%      5.88%     1.96%   11.76%    5.88%     1.96%
dukit                           0.00%   8.16%     6.12%     2.04%  10.20%    2.04%   0.00%   4.08%     4.08%   4.08%   14.29%     2.04%   10.20%    4.08%    2.04%    2.04%      6.12%     6.12%    6.12%    6.12%     0.00%
ekajarmstro                     5.71%   8.57%     7.14%     4.29%   7.14%    4.29%   7.14%   8.57%     5.71%   1.43%    4.29%     0.00%    4.29%    7.14%    2.86%    4.29%     10.00%     1.43%    1.43%    4.29%     0.00%
falconhit                       5.56%   3.70%     7.41%     5.56%   0.00%    5.56%   3.70%   5.56%     7.41%   3.70%    3.70%     7.41%    3.70%    3.70%    1.85%    5.56%      5.56%     5.56%    7.41%    3.70%     3.70%
fancypants                     21.82%   3.64%     1.82%    14.55%   7.27%    7.27%   1.82%   3.64%     5.45%   1.82%    9.09%     1.82%    1.82%    1.82%    1.82%    3.64%      5.45%     0.00%    0.00%    1.82%     3.64%
furbyfubar                      5.66%   1.89%     9.43%     3.77%   0.00%    7.55%   0.00%   3.77%     9.43%   0.00%    3.77%     7.55%    7.55%   11.32%    5.66%    5.66%     11.32%     5.66%    0.00%    0.00%     0.00%
gabrio                          5.66%   1.89%     5.66%     1.89%   7.55%    5.66%   0.00%   3.77%     7.55%   1.89%    5.66%     9.43%   11.32%    0.00%    3.77%    0.00%      0.00%    18.87%    3.77%    1.89%     3.77%
gmantsang                       2.33%   2.33%     2.33%     4.65%   0.00%    9.30%   2.33%   0.00%     2.33%   0.00%    4.65%    16.28%    4.65%    2.33%    2.33%    4.65%     13.95%     4.65%    2.33%    6.98%    11.63%
Harren                          0.00%  12.50%     5.00%    10.00%   0.00%    2.50%   0.00%   2.50%     0.00%   2.50%    2.50%     7.50%    7.50%   10.00%   10.00%    5.00%      7.50%     7.50%    0.00%    7.50%     0.00%
Hectic                          5.00%   0.00%     5.00%    10.00%   0.00%   20.00%  10.00%   5.00%     0.00%  15.00%    5.00%    10.00%    0.00%   10.00%    0.00%    0.00%      0.00%     5.00%    0.00%    0.00%     0.00%
howiie                          8.51%   8.51%    10.64%     6.38%   0.00%    2.13%  10.64%   2.13%     8.51%   6.38%    4.26%     6.38%    6.38%    0.00%    2.13%    2.13%      4.26%     6.38%    0.00%    2.13%     2.13%
humankirby                      2.08%   0.00%     6.25%     4.17%   0.00%    6.25%   0.00%   0.00%     2.08%   8.33%    6.25%     4.17%    6.25%    2.08%    0.00%    2.08%     10.42%     2.08%   12.50%   22.92%     2.08%
hunu                            1.75%   0.00%     0.00%    10.53%   0.00%   10.53%   3.51%   1.75%     3.51%   3.51%    7.02%     3.51%    3.51%    5.26%   10.53%    0.00%     12.28%     1.75%    7.02%   10.53%     3.51%
iggythegrifter                  6.12%   0.00%     0.00%    14.29%   0.00%    4.08%   8.16%   0.00%     0.00%  20.41%   12.24%    14.29%    8.16%    2.04%    6.12%    0.00%      0.00%     0.00%    2.04%    0.00%     2.04%
InfamousCupcake                 2.94%   0.00%     0.00%     2.94%   0.00%   20.59%  11.76%   0.00%     5.88%   5.88%    2.94%     8.82%    2.94%    0.00%   11.76%    5.88%      8.82%     0.00%    0.00%    8.82%     0.00%
jd105l                          0.00%   5.71%     0.00%     8.57%   2.86%   11.43%  11.43%   0.00%     2.86%   0.00%    2.86%     5.71%    8.57%    2.86%    0.00%    8.57%     11.43%    11.43%    0.00%    5.71%     0.00%
juliusb                        18.18%   9.09%     0.00%     0.00%   9.09%    0.00%   0.00%   0.00%     0.00%   0.00%    9.09%    18.18%    0.00%    0.00%    9.09%   18.18%      0.00%     0.00%    9.09%    0.00%     0.00%
jyaty                           6.67%   2.22%     6.67%     4.44%   0.00%   13.33%   2.22%   8.89%     4.44%   0.00%    4.44%     4.44%    8.89%    4.44%    8.89%    0.00%      2.22%     6.67%    2.22%    6.67%     2.22%
kcmmmmm                         2.00%  10.00%     4.00%     6.00%   2.00%    6.00%   2.00%   6.00%     2.00%  16.00%   12.00%     2.00%    4.00%    4.00%    4.00%    6.00%      2.00%     0.00%    0.00%   10.00%     0.00%
Kmars133                        3.39%   8.47%     1.69%     3.39%   1.69%    1.69%   3.39%   3.39%     5.08%   1.69%   11.86%     3.39%   10.17%    8.47%    3.39%   11.86%      3.39%     3.39%    1.69%    3.39%     5.08%
Kotte                           0.00%   0.00%     0.00%    14.89%   0.00%    6.38%   4.26%   6.38%     0.00%   6.38%    8.51%     6.38%    2.13%   10.64%    4.26%    0.00%     12.77%     2.13%    0.00%   14.89%     0.00%
krazycaley                      9.43%   5.66%     3.77%    11.32%   0.00%    3.77%   3.77%   3.77%     5.66%   5.66%    5.66%     3.77%    3.77%    5.66%    7.55%    1.89%      7.55%     7.55%    1.89%    1.89%     0.00%
lazybear                        6.38%   4.26%     2.13%     6.38%   0.00%    2.13%   8.51%   0.00%     0.00%   6.38%   12.77%    12.77%    2.13%    6.38%    6.38%    0.00%      6.38%     2.13%    2.13%    4.26%     8.51%
Legorve Genine                  6.82%   2.27%     9.09%     4.55%   0.00%    6.82%  13.64%   4.55%     4.55%   4.55%    6.82%     4.55%    2.27%    4.55%    0.00%    4.55%      6.82%     4.55%    2.27%    4.55%     2.27%
Libro                           0.00%   6.67%     6.67%     0.00%   6.67%    6.67%  13.33%   0.00%     0.00%  13.33%    6.67%     6.67%    6.67%    0.00%    0.00%    6.67%      0.00%     6.67%   13.33%    0.00%     0.00%
linkvanyali                     0.00%   0.00%     0.00%     0.00%  14.29%   14.29%   0.00%  14.29%     0.00%   0.00%   28.57%     0.00%    0.00%   14.29%    0.00%    0.00%      0.00%     0.00%    0.00%    0.00%    14.29%
magicdoer1                      7.69%   5.77%     1.92%     3.85%   1.92%    9.62%   3.85%   3.85%     0.00%   3.85%   11.54%     5.77%    1.92%    5.77%    0.00%    9.62%      5.77%     3.85%    3.85%    7.69%     1.92%
magician1099                   10.00%   6.00%     2.00%     8.00%   2.00%    4.00%   6.00%   2.00%     2.00%  14.00%    6.00%     4.00%    0.00%   12.00%    4.00%    6.00%      6.00%     0.00%    4.00%    2.00%     0.00%
Max Edward Snax                11.54%   3.85%     1.92%     5.77%   5.77%    7.69%   3.85%   1.92%     0.00%   9.62%    1.92%     7.69%    1.92%    1.92%    0.00%    0.00%     11.54%     1.92%    1.92%   19.23%     0.00%
mintyrug                        3.33%   0.00%     0.00%    10.00%   0.00%   10.00%   3.33%   0.00%     0.00%   6.67%    3.33%    10.00%    3.33%   10.00%   13.33%    3.33%      0.00%     0.00%   10.00%    6.67%     6.67%
ml726                           8.00%   0.00%     4.00%     8.00%   4.00%    0.00%   0.00%   0.00%     0.00%   8.00%    8.00%     0.00%    8.00%    0.00%    0.00%    8.00%      4.00%     0.00%   12.00%    8.00%    20.00%
monaters                       11.90%   7.14%     7.14%     7.14%   0.00%    0.00%   7.14%   4.76%     4.76%   9.52%    4.76%     2.38%    2.38%    9.52%    2.38%    2.38%      4.76%     4.76%    4.76%    2.38%     0.00%
mrrgrs                          9.80%   3.92%     0.00%     1.96%   9.80%    1.96%   9.80%   1.96%     0.00%   3.92%    5.88%     9.80%    9.80%    3.92%    1.96%    3.92%      7.84%     0.00%    9.80%    3.92%     0.00%
mrtwister                       9.84%   6.56%     1.64%     6.56%   4.92%    8.20%   3.28%   1.64%     1.64%   4.92%   18.03%     9.84%    4.92%    3.28%    1.64%    3.28%      0.00%     1.64%    6.56%    0.00%     1.64%
ninjafairy                      6.82%   2.27%    11.36%     6.82%   0.00%    4.55%   9.09%  11.36%     4.55%   4.55%    2.27%     4.55%    0.00%    2.27%    4.55%    0.00%      9.09%     4.55%    2.27%    4.55%     4.55%
OpiWrites                       2.00%   2.00%     2.00%     4.00%   4.00%    8.00%   2.00%   8.00%     0.00%  12.00%    4.00%     2.00%   10.00%    4.00%   10.00%    2.00%      6.00%     2.00%    0.00%   14.00%     2.00%
orac                            3.85%   1.92%     5.77%     7.69%   7.69%    9.62%   3.85%   1.92%     3.85%   3.85%    1.92%     9.62%    1.92%    5.77%    1.92%    5.77%      3.85%     0.00%    0.00%    9.62%     9.62%
paratroopa                      2.38%   9.52%     4.76%     2.38%   4.76%    7.14%   2.38%  11.90%     0.00%   0.00%    9.52%     7.14%    0.00%    9.52%    2.38%    4.76%      4.76%     4.76%    2.38%    7.14%     2.38%
phimagen                       14.71%   2.94%     2.94%     0.00%   2.94%    8.82%   0.00%   5.88%     0.00%   8.82%    0.00%     5.88%    0.00%    8.82%    0.00%    2.94%     11.76%     2.94%    2.94%    8.82%     8.82%
PixelBandit                    33.33%  33.33%     0.00%     0.00%   0.00%   33.33%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%    0.00%    0.00%    0.00%    0.00%      0.00%     0.00%    0.00%    0.00%     0.00%
Pizzelio                        6.25%   6.25%     9.38%     3.12%   6.25%    6.25%   6.25%   9.38%     3.12%   0.00%    6.25%     3.12%    3.12%    0.00%    6.25%    6.25%      6.25%     6.25%    3.12%    3.12%     0.00%
pofke                           2.50%   0.00%     0.00%    10.00%   2.50%   15.00%   0.00%   5.00%     0.00%  10.00%    5.00%     5.00%    2.50%    7.50%    0.00%    2.50%      5.00%    12.50%    0.00%   12.50%     2.50%
portalfreek                     9.80%   5.88%     1.96%     5.88%   1.96%   11.76%   9.80%   3.92%     0.00%   1.96%    5.88%     7.84%    5.88%    3.92%    1.96%    3.92%      3.92%     1.96%    3.92%    3.92%     3.92%
pox                             2.00%   2.00%     2.00%     2.00%   6.00%    6.00%   4.00%   0.00%     0.00%   4.00%    0.00%     6.00%    8.00%   12.00%   10.00%    2.00%      2.00%     4.00%    6.00%   14.00%     8.00%
pwndnoob                        8.77%   3.51%     0.00%     1.75%   1.75%    7.02%   3.51%   1.75%     1.75%  12.28%    8.77%     7.02%    1.75%    7.02%    1.75%    1.75%      7.02%     1.75%    5.26%   12.28%     3.51%
quicklime                      11.32%   7.55%     5.66%     7.55%  11.32%    0.00%   7.55%   1.89%     1.89%   1.89%    0.00%     3.77%    5.66%    3.77%    5.66%   13.21%      1.89%     3.77%    3.77%    1.89%     0.00%
Rai                            25.00%   0.00%     6.25%    12.50%   6.25%    6.25%   0.00%   6.25%     0.00%   0.00%    0.00%     6.25%    0.00%   12.50%    6.25%    0.00%      0.00%    12.50%    0.00%    0.00%     0.00%
Ranmilia                       10.20%   4.08%     6.12%     2.04%   8.16%    6.12%   6.12%   2.04%     0.00%   4.08%    2.04%    14.29%    4.08%    8.16%    6.12%    4.08%      2.04%     0.00%    2.04%    8.16%     0.00%
Rooks                           7.27%   3.64%     0.00%     5.45%   5.45%   10.91%   1.82%   5.45%     3.64%   3.64%    1.82%    10.91%    1.82%    7.27%    5.45%    5.45%      3.64%     3.64%    5.45%    3.64%     3.64%
rooks                           0.00%   0.00%     0.00%     0.00%   0.00%    0.00%   0.00%   0.00%     0.00%  22.22%    0.00%    44.44%    0.00%    0.00%    0.00%    0.00%     22.22%     0.00%    0.00%    0.00%    11.11%
royalflush                      3.92%   3.92%     3.92%    13.73%   1.96%    3.92%   0.00%   9.80%     5.88%   0.00%    7.84%     1.96%    0.00%    1.96%    1.96%    5.88%     11.76%     5.88%    0.00%   15.69%     0.00%
rta                             0.00%   0.00%     0.00%     0.00%   0.00%    0.00%  50.00%   0.00%     0.00%   0.00%    0.00%     0.00%    0.00%    0.00%    0.00%   50.00%      0.00%     0.00%    0.00%    0.00%     0.00%
Ryooo                           3.64%   1.82%     0.00%     0.00%   1.82%   10.91%   1.82%   0.00%     0.00%   1.82%    9.09%    16.36%    5.45%    5.45%   10.91%    1.82%     10.91%     0.00%    7.27%    7.27%     3.64%
scallions                       6.25%   2.08%     2.08%     2.08%  12.50%    8.33%   0.00%   2.08%     0.00%  27.08%    0.00%    12.50%    4.17%    6.25%    2.08%    0.00%      2.08%     4.17%    2.08%    2.08%     2.08%
sergioc89                       9.09%   4.55%     4.55%     0.00%   0.00%    0.00%   0.00%   4.55%     0.00%   9.09%   13.64%    22.73%    0.00%    4.55%    0.00%    4.55%     13.64%     4.55%    0.00%    4.55%     0.00%
sgnurf                          0.00%   6.52%     4.35%     8.70%   2.17%    8.70%   6.52%  13.04%     0.00%   4.35%    4.35%     4.35%    4.35%    2.17%    4.35%    4.35%      2.17%     8.70%    0.00%    8.70%     2.17%
Sheph                           2.08%   2.08%     0.00%     6.25%   8.33%    8.33%  10.42%   6.25%     6.25%   0.00%    6.25%     2.08%    2.08%    8.33%    0.00%    6.25%      4.17%     4.17%    4.17%    8.33%     4.17%
Silverthorn                     5.56%   0.00%     0.00%     8.33%   0.00%   11.11%   2.78%   2.78%     0.00%   0.00%    8.33%    11.11%    2.78%   11.11%   11.11%    0.00%      5.56%     0.00%    0.00%   19.44%     0.00%
skrewwl00se                    10.42%   0.00%     0.00%     0.00%   0.00%    4.17%   2.08%  10.42%     0.00%   0.00%    6.25%    20.83%    8.33%    8.33%    4.17%    0.00%     10.42%     2.08%    2.08%    8.33%     2.08%
slappydavis                     0.00%   6.25%     8.33%     6.25%   0.00%    2.08%   8.33%   6.25%     0.00%   4.17%   10.42%     2.08%    2.08%    4.17%    8.33%    2.08%      4.17%    10.42%    8.33%    2.08%     4.17%
Smiddy                          6.25%   0.00%     0.00%    21.88%   3.12%    3.12%   3.12%   3.12%     3.12%   6.25%    3.12%     9.38%    6.25%    0.00%    3.12%    9.38%      6.25%     6.25%    0.00%    3.12%     3.12%
smonteGaming                    0.00%   3.03%     4.55%     1.52%   0.00%   12.12%  10.61%   3.03%     1.52%   1.52%    7.58%     1.52%    1.52%    9.09%    0.00%    0.00%     12.12%     0.00%    7.58%   22.73%     0.00%
soolseem                        2.22%   6.67%     6.67%     6.67%   6.67%    2.22%   2.22%   4.44%     4.44%   2.22%    2.22%     4.44%    4.44%   13.33%    4.44%    0.00%      6.67%     6.67%    4.44%    8.89%     0.00%
